Id,Name,Program,Breakfast,Lunch,Dinner,Snacks,Energy,Protein,Fatness,Carbohydrates,Calcium,Na,Potassium,Alcohol,Water,Category,Weight S,Img_file S,Img_width S,Img_height S,Weight M,Img_file M,Img_width M,Img_height M,Weight L,Img_file L,Img_width L,Img_height L,Weight XL,Img_file XL,Img_width XL,Img_height XL,Menu Image,,
65,Coke,1,1,1,1,1,2,0.11,0.03,0.29,3,8,8,0,99.54,2,200,coke_p_t,107,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,coke_m_t,קולה,كولا
66,Shoko,1,1,1,1,1,16.25,0.28,0.18,3.26,12.66,3.64,21.81,0,95.16,2,200,chocomilk_p_t,107,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,choco_m_t,שוקו,شوكو
67,Orange Juice,1,1,1,1,1,46,0.7,0.2,10.5,12.34,3.5,275,0,86.9,2,200,orangejuice_p_t,107,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,orangejuice_m_t,מיץ תפוזים,عصير برتقال
68,Milk,1,1,0,1,1,57,2.9,3,4.6,100,50,144.83,0,88.51,2,200,milk_p_t,110,168,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,milk_m_t,חלב,حليب
69,Wine,1,0,1,1,1,84,0.07,0,2.72,8,5,99,10.4,86.58,18,200,wine_p3_t,120,185,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,wine_m_t,יין,نبيذ
70,Fruity,1,1,0,1,1,103,3,1.5,19.5,217.69,42.2,100.04,0,76.2,0,125,fruity_m_t,130,190,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,fruity_m_t,פירותי,
71,Gil,1,1,0,1,1,62.5,3.55,3,5.35,137.5,65,173.39,0,87.1,0,206,gil_m_t,130,190,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,gil_m_t,גיל,
72,Beer,1,0,1,1,1,43,0.46,0,3.55,4,4,27,3.9,91.96,18,500,beer_m8_t,112,205,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,beer_m8_t,בירה,بيرة
73,Avocado,1,1,0,1,0,160,2,14.66,1.83,12,7,485,0,73.23,7,51.1,avocado_p_t,204,121,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,avocado_p_t,אבוקדו,افوكادو
74,Burger,1,1,1,1,0,270,12.4,9.4,33.6,87.09,539,206.75,0,38.8,9,51.1,burger_p_t,252,241,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,burger_m_t1,המבורגר,همبرغر
75,Pastrama,1,1,1,1,1,98.85,18.59,1.02,2.63,10.89,500,206.88,0,76.73,4,7.6,pastrama_t,230,227,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pastrama_t,פסטרמה,بستراما
76,Schnitzel,1,0,1,1,0,231.89,20.71,11.24,10.41,21.69,317.43,193.23,0,56.11,9,182.7,shnizel_m_t,264,284,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,shnizel_m_t,שניצל,شنيتسل
77,Pork Steak,1,0,1,1,0,248,28,14.25,0,25,397,370,0,55.98,9,299.6,pork_steak_pl_t,223,239,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,pork_steak_pl_t,סטייק חזיר,شريحة لحم الخنزير
78,Steak,2,0,1,1,0,248,28,14.25,0,25,397,370,0,55.98,9,181.1,steak_ml_t,277,300,299.6,steak_ps_t,243,192,-1,zzz_null_image,-1,-1,-1,zzz_null_image,-1,-1,steak_ml_t,סטייק,شريحة لحم الخنزير
